id,Paper_Topic_and_Main_Contributions,Reasons_to_accept,Reasons_to_reject,Questions_for_the_Authors,Soundness,Excitement,Reproducibility,Ethical_Concerns,Reviewer_Confidence,Justification_for_Ethical_Concerns,Missing_References,Typos_Grammar_Style_and_Presentation_Improvements,cdate,ddate,details,domain,forum,invitations,license,mdate,nonreaders,number,odate,pdate,readers,replyto,signatures,tcdate,tmdate,writers,response
tS0GnXilHq,"This paper explores diverse techniques for approximating two-layer neural networks (NNs). To begin with, the authors introduce a comprehensive framework that unifies the Top-K activation function, Mixtures of Experts (MoEs), and product-key memories (PKMs). By thoroughly analyzing their approach, they subsequently present enhancements for both MoEs and PKMs. The empirical investigations reveal that the proposed MoEs perform competitively when compared to the dense Transformer-XL, underscoring the applicability of MoEs to language models of varying scales.","1. The exploration of approximating two-layer feedforward networks (FFNs) is both novel and captivating. Notably, the authors provide a comprehensive perspective that encompasses various methods, and they also conduct a comprehensive comparison of the most notable MoE variants.
2. The motivation behind the paper is distinctly articulated and substantiated. The seamless progression from motivation to theoretical analysis, and ultimately to the proposal of the method, is presented in a coherent and natural manner.
3. The proposed approach is effectively supported by empirical experiments, demonstrating its ability to attain performance on par with dense networks.","1. The proposed $\sigma$-MoE framework requires further justification. The specific design approach for $W_3$ and the uniform initialization of weight matrices are notable contributions. The paper should delve into the rationale behind these design choices and their benefits, particularly in terms of their impact on the performance of the MoE model.

2. The empirical investigations provided appear somewhat limited in scope. Given that all experiments are exclusively conducted on WikiText-103 and Enwik8, which share similar data distributions, it would be prudent to expand the experimental scope to include other datasets. This would provide additional support for the performance claims of the $\sigma$-MoE model.

3. While the paper introduces novel elements through the MoE variant design, the novelty level might be constrained. To enhance the clarity of the novelty introduced beyond the MoE variant design, it's advisable to provide further elaboration and illustration.

","1. It would be valuable to include additional experiments on diverse text datasets such as PTB and C4. Expanding the experimental evaluation beyond Enwik8 and WikiText-103 can provide a more comprehensive understanding of the proposed approach's performance across various text domains and scales.
2. Could you provide further clarification and elaboration on the design principles underlying the $\sigma$-MoE model? ","3: Good: This study provides sufficient support for its major claims/arguments, some minor points may need extra support or details.","3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.","4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"3: Pretty sure, but there's a chance I missed something. Although I have a good feel for this area in general, I did not carefully check the paper's details, e.g., the math, experimental design, or novelty.",,,,1692010000000,,,EMNLP/2023/Conference,zM3mlyflTt,"['EMNLP/2023/Conference/Submission3542/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701460000000,[],4,,,"['everyone', 'EMNLP/2023/Conference/Submission3542/Reviewer_d9Y9']",zM3mlyflTt,['EMNLP/2023/Conference/Submission3542/Reviewer_d9Y9'],1692010000000,1701460000000,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission3542/Reviewer_d9Y9']","No, this peer review does not specifically suggest that the authors refer to any new literature. The reviewer mentions some areas where the authors could improve their paper, but none of these suggestions involve referencing additional literature. Instead, they ask for clarification on certain design principles and methods used by the authors in their paper."
LzJ6Vg1zuU,The paper presents a technique for zero-shot intent classification. The authors make use of a BERT model finetuned on the NLI task and a dependency parser to discover new intents not seen before.,"Creativity: The authors present a creative pipeline that combines several components to predict new intents in a zero-shot setting.

Experiments: For many experiments, the authors show results for several different methods, comparing to a variety of LLMs.","Simplistic approach: The method presented in Algorithm 1 just extracts words from the sentence. If the intent word is not explicitly expressed in the sentence, this method will be incapable of generating the correct intent.

Lack of baseline in Table 4: The authors only present various settings for their model. I'm not familiar with this research area, so I have no idea if there are approaches in previously published work that outperform this method that the authors have left out.

Marginal improvement in Table 4: The difference in results for each approach are very small, so the benefit of the proposed method does not seem large.

Interpretability of remaining results: It's hard to compare the performance to the LLMs because they only use cosine distance. It's clear the model outperforms in semantic similarity (according to the semantic encoder models used), but for more trustworthy results, a small sample of human evaluations should be used as well to be sure that this method outperforms the LLMs in the zero-shot setting. Another option would be to modify the LLM experiment such that label F1 scores could be produced (use a verbalizer to map LLM output to intent classes).","1. What is the frequency of examples in the dataset where the intent is explicitly mentioned in the sentence? If this is almost all of the cases, then my first reason to reject is not important. If there are a lot of examples without the intent mentioned, this method is fundamentally limited compared to LLMs which can generalize better than this approach (generate an intent without the intent being mentioned explicitly).

2. Are there any baselines that you could compare to for zero-shot intent classification? If so, why didn't you include them in Table 4?

3. What is the test set for Table 4?","2: Borderline: Some of the main claims/arguments are not sufficiently supported, there are major technical/methodological problems","2: Mediocre: This paper makes marginal contributions (vs non-contemporaneous work), so I would rather not see it in the conference.",3: Could reproduce the results with some difficulty. The settings of parameters are underspecified or subjectively determined; the training/evaluation data are not widely available.,No,"2: Willing to defend my evaluation, but it is fairly likely that I missed some details, didn't understand some central points, or can't be sure about the novelty of the work.",,,,1691098741122,,,EMNLP/2023/Conference,zdMislOLTv,"['EMNLP/2023/Conference/Submission117/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461009534,[],2,,,"['everyone', 'EMNLP/2023/Conference/Submission117/Reviewer_ihi6']",zdMislOLTv,['EMNLP/2023/Conference/Submission117/Reviewer_ihi6'],1691098741122,1701461009534,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission117/Reviewer_ihi6']","Based on the provided peer review, it seems that the author does suggest referring to additional literature for certain aspects of the research. Specifically, they mention:

* Human evaluations should be used alongside semantic similarity metrics to ensure the proposed method outperforms LLMs (which implies referencing existing work on human evaluation methods in NLP)
* Label F1 scores could be produced by using a verbalizer to map LLM output to intent classes (which suggests referencing literature on verbalization techniques and their applications)

However, the peer review does not specifically mention referring to any new or additional literature that was not already discussed in the original paper. The reviewer's suggestions are more focused on addressing methodological issues and improving the presentation of results.

If I had to infer, I would say that the author might suggest referencing existing work on zero-shot intent classification, NLI tasks, or dependency parsing, but this is not explicitly stated."
4WJ8SxwMk5,"This work focuses on the task of detecting partisan vs counter-partisan events in news reporting. The authors aggregate 103 news stories, each with 2 news articles from opposing ideologies, end extract events from them using a RoBERTa-based model. They then annotate (a) each article as ideologically leaning towards left/right and on a Likert scale (1-5, left-right) and (b) each identified event in a news article as partisan/counter-partisan/neutral. After a qualitative analysis of their annotations, they test two RoBERTa-based models on two tasks: (A) article-level ideology prediction and (B) partisan event detection -- for (B) they also try ChatGPT. 

The paper is well-written, albeit with a few clarification points needed primarily on the annotation process (§3). The major contribution is the introduction of a novel dataset, which can be useful for future research in this area. My major concern though is the lack of error and qualitative analysis of the results, which is quite important for this type of work: which are the most challenging cases for the best-performing model? Which cases are more easily captured? Is there a correlation between qualitative characteristics (e.g., sentiment) and the accuracy of the models? Incorporating a section on this type of analysis would greatly benefit the paper, as it can guide future work on this task/dataset.",- The introduction of a novel dataset.,"- Lack of error and qualitative analysis of the results, which can set up the future research directions on this task.
- A few missing details/clarification points are needed, primarily in section 3 (annotation process) which is the most important.","- L134: ""We manually inspect each story [...] differ"": Please provide more details. Who inspected each story, which were the annotation guidelines/the inspectors' background, IAA, etc.

- L136: Which is the definition of ""events from TimeML""?

- L138: How was the 89.31 F1 score calculated? On which test set? Is there a performance drop expected when applied on the PARTISAN EVENTS dataset?

- L174: ""we held individual weekly meetings [...] if there was ambiguity"": could you provide an example use case in an appendix possibly? Was this part of the training or part of the actual annotation task? If the latter is the case, could this introduce bias in the annotations?

- §3.2: Clarify early on this section that each annotation was performed by two students and not by all of them.

- §3.2: You mention that the IAA on ""*stories'* relative ideology"" is 91%; but on §3.1, you mention that ""At the *article* level, the annotator determines the relative ideological ordering"". Do these two quoted pieces of text refer to the same annotation? If so, please be consistent on your terminology (i.e., ""story"" vs ""article level"" annotation).

- L186: ""a significant difference in their absolute ideologies"": please provide the exact absolute value used.

- §5: Is Task A a two- or a five-class prediction task?

- Results section: it is unclear to my why you have omitted the neutral class. Surely the other two classes are more interesting to your task, but it is very important for the reader to see the overall picture of the results.","3: Good: This study provides sufficient support for its major claims/arguments, some minor points may need extra support or details.","3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.","4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,,"- L240: research vs reach?
- Table 3: add ""."" at the end
- L253: ""hurts the model performance"" for Task A",1691142932140,,,EMNLP/2023/Conference,zrBrl2iQUr,"['EMNLP/2023/Conference/Submission5006/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461325906,[],2,,,"['everyone', 'EMNLP/2023/Conference/Submission5006/Reviewer_wiNC']",zrBrl2iQUr,['EMNLP/2023/Conference/Submission5006/Reviewer_wiNC'],1691142932140,1701461325906,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission5006/Reviewer_wiNC']","Based on the peer review, there is no clear indication that the authors need to refer to new literature that was not already discussed in the original paper. The reviewer's main concerns and suggestions focus on clarifying certain points, providing more details and explanations about the methodology and results, and improving the presentation of the paper.

However, one possible implication is that the authors may want to consult relevant literature on error analysis and qualitative evaluation of natural language processing models, as the reviewer suggests that incorporating a section on this type of analysis would greatly benefit the paper. This might involve looking at existing work on evaluating the performance of NLP models on specific tasks, such as detecting partisan or biased language.

More specifically, some potential literature that the authors may want to consult includes:

* Studies on error analysis and qualitative evaluation of NLP models (e.g., [1], [2])
* Research on detecting partisan or biased language in news articles (e.g., [3], [4])
* Work on using TimeML for event extraction (e.g., [5])

However, these are not necessarily new or novel sources that the authors need to reference; rather, they may want to consult existing work in these areas to improve their own methodology and presentation."
zV1gFrvzZ5,"The authors have developed an efficient, sparse method for correlating textual and visual data within a unified conceptual framework. The most important novelty of the paper, in my opinion, is to cluster the textual tokens into concepts, and align the visual and textual representations in that space.","Interesting idea.
Important problem.
The solution can be applied to different types of visual-textual applications, for example phishing detection on social media, recommendation systems, and etc.
Superior results.
Well written.","KNN clustering to find concepts given words, makes the approach biased towards the word embeddings of he up-stream models. It can be claimed that the success of the networks is mostly achieved by the initial words embeddings, before clustering.","1- How this method can handle rare and frequent concepts?
2- Is the cluster center selected as the representative?
3- Is there a way to take advantage of the cooccurrence of cluster words?
4- Why the Dense space similarity needed?",4: Strong: This study provides sufficient support for all of its claims/arguments. ,4: Strong: This paper deepens the understanding of some phenomenon or lowers the barriers to an existing research direction.,"4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,,,1691222367311,,,EMNLP/2023/Conference,zeGXjQYhXz,"['EMNLP/2023/Conference/Submission4649/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461307354,[],2,,,"['everyone', 'EMNLP/2023/Conference/Submission4649/Reviewer_VnYa']",zeGXjQYhXz,['EMNLP/2023/Conference/Submission4649/Reviewer_VnYa'],1691222367311,1701461307354,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission4649/Reviewer_VnYa']","No, this peer review does not explicitly suggest the authors of the paper to refer to specific literature that are not already discussed in the original paper. The reviewer provides constructive criticisms and questions for the authors to consider, but does not mention any specific papers or references that they should consult. However, it can be implied that the authors may need to address some of the limitations mentioned in the review by referencing relevant literature, such as word embeddings research or co-occurrence analysis."
mb7JHUgvGM,This paper introduces a method called 'Holistic Inter-Annotator Agreement' to compute the (percentage) agreement between each pair of annotators on the semantically most similar sentences they have both annotated. This allows the authors to compute what annotators are most similar to a particular annotator. This ranking is shown to correlate well with the ranking obtained using standard IAA metrics such as Cohen's K. ,"1. The paper is clearly built on a great deal of expertise about annotation, in particular in large-scale annotation projects. It raises some very good questions about the limitations of coefficients of agreement in such large-scale annotation projects, and illustrates some very good annotation practices - it could be useful to others aiming to run such a project.

2. The method itself makes a lot of sense.

3. the results obtained with the proposed method are analysed to a great depth.","1. The main problem I have with this paper is that it's not completely clear to me what is the problem that the authors are trying to solve. My understanding is that they are trying to come up with a more useful way of measuring the actual agreement between annotators not just on the few examples they both annotate, but I am not completely sure this is right. 

2. A more general problem is that others have realized that coefficients of agreement are really a limited metric - especially in case of subjective judgments - and have tried to devise more informative approaches, although nobody as far as I know has addressed the specific issue tackled in this paper. I am especially thinking of the work on probabilistic models of annotation by Passonneau and Carpenter, and their TACL 2014 paper. In that paper, the authors argue convincingly that a single number cannot be sufficient  for the in-depth  analysis of annotation that the authors of this paper have in mind. The type of analysis they propose involve building models of each annotator, and of each item, that do allow for more insightful comparisons. I would encourage the authors to have a look at these methods and perhaps think about generalizing them. ","1. Do I understand your objective correctly? Is your objective in effect to compute agreement between annotators on a larger scale, i.e., not only on the sentences they all annotate?

2. If the answer to the above is 'yes', how are you proposing to assess whether the obtained Holistic IAA value is sufficient to your purposes?","5: Excellent: This study is one of the most thorough I have seen, given its type.","3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.","4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,"Rebecca J. Passonneau and Bob Carpenter. 2014. The Benefits of a Model of Annotation. Transactions of the Association for Computational Linguistics, 2:311–326.",,1691170000000,,,EMNLP/2023/Conference,zIgc1Qeceh,"['EMNLP/2023/Conference/Submission4608/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701460000000,[],2,,,"['everyone', 'EMNLP/2023/Conference/Submission4608/Reviewer_Wmuj']",zIgc1Qeceh,['EMNLP/2023/Conference/Submission4608/Reviewer_Wmuj'],1691170000000,1701460000000,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission4608/Reviewer_Wmuj']","Yes, the peer review suggests that the authors should be aware of and possibly refer to the work by Rebecca J. Passonneau and Bob Carpenter (2014) on probabilistic models of annotation, particularly their TACL 2014 paper. The reviewer mentions this as a related approach to the method proposed in the paper, suggesting that it could provide more insightful comparisons and is worth considering for generalizing or building upon."
aQtWnkoUAX,"This paper analyzes the mechanism of relative positional embeddings and shows that the relative positional dependence of attention emerges due to some factors. Besides, the word embedding is also a factor that enables inference based on relative position for the attention strongly concentrated on the adjacent tokens. ",This paper introduces an interesting work on the relationship between self-attention and position embeddings. The factors proposed in the paper are based on several experiments and the results are persuasive. ,"There are some problems in this paper

1.  The relationships between different sections are not clear and authors should give a clear description of the relationship in the introduction. In the Introduction, these factors are put in Section 4. However, Section 3 also shows the factors of RPE. Besides Section 4 focuses on nearby tokens and Section 5 focuses on adjacent tokens, while adjacent tokens can be viewed as one part of nearby tokens. It is better to combine Section 4 and 5.

2. Authors should make the equation more prescriptive. Line 244, $X$a->$X_a$, $Y$b->$Y_b$. Line 329, $q$s->$q=[q_n]$, $k$s->$k=[k_n]$ ","

",4: Strong: This study provides sufficient support for all of its claims/arguments. ,4: Strong: This paper deepens the understanding of some phenomenon or lowers the barriers to an existing research direction.,3: Could reproduce the results with some difficulty. The settings of parameters are underspecified or subjectively determined; the training/evaluation data are not widely available.,No,"3: Pretty sure, but there's a chance I missed something. Although I have a good feel for this area in general, I did not carefully check the paper's details, e.g., the math, experimental design, or novelty.",,,,1691233546126,,,EMNLP/2023/Conference,zpayaLaUhL,"['EMNLP/2023/Conference/Submission1988/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461134495,[],2,,,"['everyone', 'EMNLP/2023/Conference/Submission1988/Reviewer_5Jmf']",zpayaLaUhL,['EMNLP/2023/Conference/Submission1988/Reviewer_5Jmf'],1691233546126,1701461134495,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission1988/Reviewer_5Jmf']","No, this peer review does not explicitly suggest referring to any additional literature. It focuses on providing feedback on the paper's structure and content, suggesting improvements such as clarifying relationships between sections, combining certain sections, and making equations more prescriptive. The reviewer also provides an assessment of the paper's soundness, excitement, reproducibility, ethical concerns, and their confidence in the review."
tvbDgCH8Ns,The paper proposes an adapter-based multi-attribute text style transfer model with the parallel and stacked connection configurations. The authors focusing on an issue of the current PLM fine-tuning where the training examples are limited and the PLM contains a huge amount of parameters which may lead to overfitting.,"The paper reads very smoothly and is an enjoyable read. The model is explained clearly and the paper is well-structured.

The method proposed is a new application scenario extension of the Adapter framework.","The experiments only utilized one backbone model, potentially leading to an evaluation bias concerning the model's effectiveness. To address this concern, the author should investigate and assess the impact of employing various backbones on the performance of the adapters.

The human evaluation lacks specific quality details, such as the number of examples used for evaluation and the number of workers hired to conduct the evaluations. Including these details is essential to ensure transparency and replicability of the evaluation process. 

The comparison with prior works is insufficient, raising concerns about the effectiveness of the proposed model. 

Missing some related references, e.g., FGIM, Wang et al., 2019.",,4: Strong: This study provides sufficient support for all of its claims/arguments. ,"3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.","4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,Controllable Unsupervised Text Attribute Transfer via Editing Entangled Latent Representation.,,1691110000000,,,EMNLP/2023/Conference,z9l6nHpTyT,"['EMNLP/2023/Conference/Submission1404/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701460000000,[],1,,,"['everyone', 'EMNLP/2023/Conference/Submission1404/Reviewer_f2rF']",z9l6nHpTyT,['EMNLP/2023/Conference/Submission1404/Reviewer_f2rF'],1691110000000,1701460000000,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission1404/Reviewer_f2rF']","Yes, the peer review suggests referring to specific literature that is not already discussed in the original paper. The reviewer mentions ""Missing some related references, e.g., FGIM, Wang et al., 2019"" which implies that the authors should include these references in their paper."
MQwLC7aBqC,"This paper proposes a task called incremental novel slot detection that continually detects new slots, labels new slots, and retrains the slot detection model for the next-round detection. The authors adapt the SNIPS and ATIS, two classical slot-filing datasets to fulfill this setting. They proposed to combine contrastive learning and noise-induced adversarial learning for novel type prediction and propose a Query Enhanced Knowledge Distillation to alleviate the catastrophe-forgetting problem during incremental learning.  Experimental results show the efficacy of the proposed framework when compared with a novel-type prediction baseline and two continual learning baselines. ","1. Propose a research problem that is more relevant to the realistic setting, i.e., incremental slot detection (both out-of-distribution and in-distribution), which requires continually detecting new slot values and deploying the new slot prediction models. This could be an interesting research topic for online dialog system development.

2. For slot detection, the paper utilizes learnable query vectors for feature matching and sequence prediction and use Hungarian algorithm to optimize the labeled triples. the same query can also be used to retrieve some representative data from the training set for incremental learning to avoid the catastrophic forgetting problem. Knowledge distillation is also used for fast model adaptation. This framework could potentially be useful and efficient in real dialog systems.","1. Lacking strong baselines. The incremental learning for dialog systems is a classical topic, many different approaches, like architecture-based, memory-based, and data-retrieval-based are proposed in previous work[1], and also compared with strong multi-task learning baseline.  Since this paper focuses on incremental learning, it needs more comparison with different baselines.

2. Lacking more complex benchmarks to verify the effectiveness of the method. Current benchmarks are small and toylike. More realistic dialog datasets like MultiWOZ, SGD, and dataset on DialogStudio should be considered.  In addition, ChatGPT or GPT-4 results on this benchmark should be included for more comparison. This may not be required, but it's crucial to demonstrate how hard and challenging the new task is.

[1] Madotto A, Lin Z, Zhou Z, et al. Continual learning in task-oriented dialogue systems[J]. arXiv preprint arXiv:2012.15504, 2020.
","1. Table 2. For the Snips dataset, why the NSD results in a decrease from 5% to 10% and an increase from 10% to 15%?

2. Line 374. Step 2, Why replace the text token with MASK, and slot values belonging (T_p<i) are labeled with O? Should it be T_p>i?

3. Line 190 After a new slot value is detected at the current stage, the novel slots will be viewed as in-domain types. Does that mean only the set of the new slot names becomes available? Or all the labeled data for those new slots are available?
","3: Good: This study provides sufficient support for its major claims/arguments, some minor points may need extra support or details.","3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.","4: Could mostly reproduce the results, but there may be some variation because of sample variance or minor variations in their interpretation of the protocol or method.",No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,"Open-vocabulary slot-filling:

1. Rastogi A, Zang X, Sunkara S, et al. Towards scalable multi-domain conversational agents: The schema-guided dialogue dataset[C]//Proceedings of the AAAI conference on artificial intelligence. 2020, 34(05): 8689-8696.

2. Rastogi A, Hakkani-Tür D, Heck L. Scalable multi-domain dialogue state tracking[C]//2017 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU). IEEE, 2017: 561-568.

3. Bapna A, Tur G, Hakkani-Tur D, et al. Towards zero-shot frame semantic parsing for domain scaling[J]. arXiv preprint arXiv:1707.02363, 2017.

4. Dai Y, Zhang Y, Liu H, et al. Elastic CRFs for Open-Ontology Slot Filling[J]. Applied Sciences, 2021, 11(22): 10675.


Incremental dialog learning

1. Wang W, Zhang J, Li Q, et al. Incremental learning from scratch for task-oriented dialogue systems[J]. arXiv preprint arXiv:1906.04991, 2019.

2. Madotto A, Lin Z, Zhou Z, et al. Continual learning in task-oriented dialogue systems[J]. arXiv preprint arXiv:2012.15504, 2020.

3. Kim G, Xiao C, Konishi T, et al. Open-World Continual Learning: Unifying Novelty Detection and Continual Learning[J]. arXiv preprint arXiv:2304.10038, 2023.
","1.  The contribution of the paper is not very focused. The new task, or the bipartite matching for NSD, or the query-enhanced data retrospection?  Better to focus on one aspect and add extensive experiments or introduce new realistic datasets. 

2. Line 28 citation ?

3. Line 34 research -> researcher

4. Line 256  what is w_b ? is it w_s?
",1691020000000,,,EMNLP/2023/Conference,z69tlSxAwf,"['EMNLP/2023/Conference/Submission3931/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701460000000,[],1,,,"['everyone', 'EMNLP/2023/Conference/Submission3931/Reviewer_Mmoy']",z69tlSxAwf,['EMNLP/2023/Conference/Submission3931/Reviewer_Mmoy'],1691020000000,1701460000000,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission3931/Reviewer_Mmoy']","Yes, the peer review suggests that the authors should refer to specific literature that are not already discussed in the original paper. The reviewer mentions several papers under ""Missing_References"" section that they think would be relevant to the topic of the paper:

* For open-vocabulary slot-filling:
	+ Rastogi et al., 2020
	+ Rastogi et al., 2017
	+ Bapna et al., 2017
	+ Dai et al., 2021
* For incremental dialog learning:
	+ Wang et al., 2019
	+ Madotto et al., 2020
	+ Kim et al., 2023

These papers are related to the topics of open-vocabulary slot-filling and incremental dialog learning, which are relevant to the paper being reviewed. The reviewer is suggesting that the authors consider referencing these papers in their work to provide a more comprehensive overview of the field."
POnuqpw0mh,"This paper proposed a method to do zero-shot intent classification, it can be applied to BERT-based transformer models. The method contains two stages, where for stage-1, the dependency parser is used to get potential intents and in stage-2 the zero-shot classification is performed for final output. Experiments are done on public datasets to verify the effectiveness of the proposed method.",The paper designed a method as a BERT adapter to handle the zero-shot intent discovery task. The model has been evaluated on two datasets and achieved state-of-the-art performance.,"The contribution of the paper is not very clear, how does this method compare with other existing language model adapters.
More ablation study could be done to prove the effectiveness of components in the model architecture.
","1. How does this method compare with other existing language model adapters.
2. What are the tunable parameters and what are the frozen parameters in the model?
3. What is the size of the trainable parameters in the proposed method?
4. The model has been used in English and Italian, can experiments be added to  one more language to better prove the multilingual ability? 
","2: Borderline: Some of the main claims/arguments are not sufficiently supported, there are major technical/methodological problems","3: Ambivalent: It has merits (e.g., it reports state-of-the-art results, the idea is nice), but there are key weaknesses (e.g., it describes incremental work), and it can significantly benefit from another round of revision. However, I won't object to accepting it if my co-reviewers champion it.",5: Could easily reproduce the results.,No,"3: Pretty sure, but there's a chance I missed something. Although I have a good feel for this area in general, I did not carefully check the paper's details, e.g., the math, experimental design, or novelty.",,,"Here are some minor notes that the author may consider:
1. In line-184, building a pipeline [that is] able to handle unseen classes.
2. As the proposed method is a two-stage pipeline, it could be better if stage-1 and stage-2 can be clearly illustrated in the pipeline figure.
",1691103200789,,,EMNLP/2023/Conference,zdMislOLTv,"['EMNLP/2023/Conference/Submission117/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461009433,[],3,,,"['everyone', 'EMNLP/2023/Conference/Submission117/Reviewer_cqfr']",zdMislOLTv,['EMNLP/2023/Conference/Submission117/Reviewer_cqfr'],1691103200789,1701461009433,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission117/Reviewer_cqfr']","No, the peer review does not suggest referring to specific literature not already discussed in the original paper. The reviewer only mentions one specific point of comparison with other existing language model adapters, but it is phrased as a question for the authors (How does this method compare with other existing language model adapters?), implying that they expect the authors to provide more information on this topic rather than referencing external literature."
1oyU2ZDkEj,"This paper mainly discusses the behavior of attention mechanisms in pre-trained language models, specifically focusing on the impact of position embeddings on attention. The authors conduct a series of experiments to analyze the relationship between attention and position embeddings, and also investigate the effect of different model architectures and languages on attention behavior. 
For example，the authors find that 1) learnable absolute position embedding contains sinusoid-like waves, 2) attention heads are able to extract periodic components from the position embedding in the hidden states, and 3) the self-attention mechanism is responsible for adjusting the phase of the periodic components in both the query and the key, thus influencing the direction of attention.
These findings provide a better understanding of the mechanisms underlying position encoding in attention, which can inform future model design and development.","1. Thorough analysis of attention mechanisms. The paper's findings on the impact of position embeddings on attention is particularly valuable. 
2. Clear presentation of experimental results and findings. 
3. The authors' use of theoretical interpretations and visualization techniques to illustrate attention behavior is particularly helpful in conveying their findings to readers.","1. The authors' findings are related to the models and training objectives used in their study, and may not be entirely generalizable. However, the detection and analysis methods proposed by the authors can be applied to other models.",,"5: Excellent: This study is one of the most thorough I have seen, given its type.",4: Strong: This paper deepens the understanding of some phenomenon or lowers the barriers to an existing research direction.,3: Could reproduce the results with some difficulty. The settings of parameters are underspecified or subjectively determined; the training/evaluation data are not widely available.,No,"4: Quite sure. I tried to check the important points carefully. It's unlikely, though conceivable, that I missed something that should affect my ratings.",,,,1690971413694,,,EMNLP/2023/Conference,zpayaLaUhL,"['EMNLP/2023/Conference/Submission1988/-/Official_Review', 'EMNLP/2023/Conference/-/Edit']",CC BY 4.0,1701461134594,[],1,,,"['everyone', 'EMNLP/2023/Conference/Submission1988/Reviewer_8B3x']",zpayaLaUhL,['EMNLP/2023/Conference/Submission1988/Reviewer_8B3x'],1690971413694,1701461134594,"['EMNLP/2023/Conference', 'EMNLP/2023/Conference/Submission1988/Reviewer_8B3x']","No, the peer review does not suggest the authors to refer to specific literature that are not already discussed in the original paper. The reviewer praises the thoroughness and clarity of the analysis, and highlights the value of the findings. However, they do mention some limitations, such as the potential lack of generalizability of the results, but this is more related to the interpretation and application of the research rather than suggesting additional literature to be referenced."
