bigrams,frequency,topic 1,topic 2
language models,76,Other/Unknown,LLM related(self assigned)
large language,24,Other/Unknown,LLM related(self assigned)
question answering,20,Question Answering,
machine translation,19,Machine Translation,
text generation,15,Generation,
named entity,15,Information Extraction,
entity recognition,14,Information Extraction,
natural language,13,Other/Unknown,
speech translation,12,"Speech Recognition, Text-to-Speech and Spoken Language Understanding",Machine Translation
style transfer,11,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Machine Learning for NLP
text classification,11,NLP Applications,
neural machine,11,Machine Translation,
chain thought,11,Language Modeling,
sentiment analysis,10,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",
language model,10,Other/Unknown,
contrastive learning,9,Machine Learning for NLP,
aspect-based sentiment,8,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",
reinforcement learning,8,Machine Learning for NLP,
semantic change,7,Semantics: Lexical and Sentence-Level,
in-context learning,6,Language Modeling,
language generation,6,Generation,
text style,6,Computational Social Science and Cultural Analytics,Machine Learning for NLP
transfer learning,6,Machine Learning for NLP,
parameter-efficient fine-tuning,6,Efficient/Low-Resource Methods for NLP,
thought prompting,6,Language Modeling,
cross-lingual transfer,5,Multilingualism and Cross-Lingual NLP,
continual learning,5,Machine Learning for NLP,
knowledge graph,5,NLP Applications,
knowledge graphs,5,NLP Applications,
commonsense knowledge,5,Interpretability and Analysis of Models for NLP,Dialogue and Interactive Systems
pre-trained language,5,Language Modeling,
code generation,5,Generation,
active learning,5,Machine Learning for NLP,
end-to-end speech,5,"Speech Recognition, Text-to-Speech and Spoken Language Understanding",
self-consistency improves,5,Language Modeling,
improves chain,5,Language Modeling,
thought reasoning,5,Language Modeling,
reasoning language,5,Language Modeling,
lexical semantic,5,Semantics: Lexical and Sentence-Level,
passage retrieval,4,Information Retrieval and Text Mining,
pre-trained models,4,Language Modeling,
image captioning,4,"Multimodality and Language Grounding to Vision, Robotics and Beyond",
word embeddings,4,Machine Learning for NLP,Semantics: Lexical and Sentence-Level
language processing,4,Other/Unknown,
commonsense question,4,Question Answering,
prompt learning,4,Language Modeling,
