bigrams,frequency,topic 1,topic 2
language models,327,Other/Unknown,LLM related(self assigned)
large language,205,Other/Unknown,LLM related(self assigned)
language model,66,Other/Unknown,
machine translation,54,Machine Translation,
question answering,52,Question Answering,
natural language,39,Other/Unknown,
in-context learning,32,Language Modeling,
contrastive learning,32,Machine Learning for NLP,
named entity,25,Information Extraction,
entity recognition,25,Information Extraction,
pre-trained language,24,Language Modeling,
text classification,21,NLP Applications,
knowledge graph,20,NLP Applications,
text generation,20,Generation,
relation extraction,20,Information Extraction,
sentiment analysis,19,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",
neural machine,17,Machine Translation,
information extraction,17,Information Extraction,
language understanding,17,"Speech Recognition, Text-to-Speech and Spoken Language Understanding",
data augmentation,15,Efficient/Low-Resource Methods for NLP,
models via,15,Other/Unknown,
speech translation,14,Machine Translation,"Speech Recognition, Text-to-Speech and Spoken Language Understanding"
error correction,14,Other/Unknown,
knowledge distillation,13,Efficient/Low-Resource Methods for NLP,
prompt tuning,13,Language Modeling,
reading comprehension,12,Question Answering,
case study,12,NLP Applications,
cross-lingual transfer,12,Multilingualism and Cross-Lingual NLP,
dense retrieval,12,Information Retrieval and Text Mining,
knowledge graphs,12,NLP Applications,
hate speech,12,NLP Applications,
language processing,11,Other/Unknown,
sentence embeddings,11,Machine Learning for NLP,
empirical study,11,NLP Applications,
entity linking,11,Information Extraction,
machine reading,11,Question Answering,
instruction tuning,11,Language Modeling,
dialogue generation,11,Generation,Dialogue and Interactive Systems
social media,11,Computational Social Science and Cultural Analytics,NLP Applications
vision-language models,10,"Multimodality and Language Grounding to Vision, Robotics and Beyond",
reinforcement learning,10,Machine Learning for NLP,
across languages,10,Multilingualism and Cross-Lingual NLP,
semantic parsing,10,"Syntax: Tagging, Chunking and Parsing",Question Answering
comprehensive evaluation,9,Resources and Evaluation,
visual question,9,"Multimodality and Language Grounding to Vision, Robotics and Beyond",Question Answering
text summarization,9,Summarization,
active learning,9,Machine Learning for NLP,
grammatical error,9,"Syntax: Tagging, Chunking and Parsing",
language modeling,8,Language Modeling,
hallucination detection,8,Language Modeling,
factual knowledge,8,Dialogue and Interactive Systems,Interpretability and Analysis of Models for NLP
domain adaptation,8,Other/Unknown,
reasoning large,8,Interpretability and Analysis of Models for NLP,LLM related(self assigned)
pretrained language,8,Other/Unknown,
stance detection,8,Computational Social Science and Cultural Analytics,"Sentiment Analysis, Stylistic Analysis, and Argument Mining"
using large,8,NLP Applications,LLM related(self assigned)
multilingual language,8,Multilingualism and Cross-Lingual NLP,
