pure_titles,topic 1 
Zero-Shot Robotic Manipulation with Pretrained Image-Editing Diffusion Models,robotics
Zero-Shot Image Restoration Using Denoising Diffusion Null-Space Model,diffusion_based_models
Zero-Reference Low-Light Enhancement via Physical Quadruple Priors,machine_vision
Zero-1-to-3: Zero-shot One Image to 3D Object,generative_models
You Only Need Less Attention at Each Stage in Vision Transformers,deep_learning_architectures
YaRN: Efficient Context Window Extension of Large Language Models,natural_language_processing
XCube: Large-Scale 3D Generative Modeling using Sparse Voxel Hierarchies,generative_models
WOUAF: Weight Modulation for User Attribution and Fingerprinting in Text-to-Image Diffusion Models,privacy
Word Acquisition in Neural Language Models,natural_language_processing
WinCLIP: Zero-/Few-Shot Anomaly Classification and Segmentation,machine_vision
Why Momentum Really Works,optimization
Where to Mask: Structure-Guided Masking for Graph Masked Autoencoders,graph_neural_networks
What's a good imputation to predict with missing values?,interpretability_and_explainability
What to Hide from Your Students: Attention-Guided Masked Image Modeling,interpretability_and_explainability
What Makes Good Data for Alignment? A Comprehensive Study of Automatic Data Selection in Instruction Tuning,fairness
Weakly Supervised Learning of Cortical Surface Reconstruction from Segmentations,neuroscience_and_cognitive_science
VL-ADAPTER: Parameter-Efficient Transfer Learning for Vision-and-Language Tasks,deep_learning_architectures
Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,human-AI_interaction
VIP: Towards Universal Visual Reward and Representation via Value-Implicit Pre-Training,reinforcement_learning
Vector Quantized Diffusion Model for Text-to-Image Synthesis,diffusion_based_models
Variational Diffusion Models,diffusion_based_models
VanillaKD: Revisit the Power of Vanilla Knowledge Distillation from Small Scale to Large Scale,deep_learning_architectures
Vaccine: Perturbation-aware Alignment for Large Language Model,natural_language_processing
UVCGAN v2: An Improved Cycle-Consistent GAN for Unpaired Image-to-Image Translation,generative_models
UvA-DARE (Digital Academic Repository) Neural Relational Inference for Interacting Systems Neural Relational Inference for Interacting Systems,probabilistic_methods
Up or Down? Adaptive Rounding for Post-Training Quantization,optimization_for_deep_networks
Unsupervised Portrait Shadow Removal via Generative Priors,generative_models
Unsupervised Non-Rigid Image Distortion Removal via Grid Deformation,machine_vision
Unsupervised Learning of Debiased Representations with Pseudo-Attributes,fairness
Unsupervised Concept Discovery Mitigates Spurious Correlations,interpretability_and_explainability
