filename,extracted_years,average_year
submission560.pdf,"2022, 2005, 2000, 2013, 2020, 2020, 2020, 2020, 1901, 2017, 2020, 2020, 2021, 2019, 2019, 2022, 2020, 2020, 1985, 2021, 2020, 2021, 2022, 2017, 2022, 2020, 2020, 2022, 2019, 2015, 2019, 2020, 2022, 2022, 2020, 2020, 2019, 2021, 2020, 2020, 2022, 2022, 2021, 2019, 2019, 2021, 2021, 2020, 2022, 2022, 2019, 2019, 2022, 2022, 1903, 2019, 2019, 2018, 2018, 2023, 2022, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2021, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2021, 2018, 2018, 2018, 2018, 2018",2016.18
submission1089.pdf,"2022, 2022, 2022, 2021, 2021, 2021, 2019, 2019, 2020, 2020, 2022, 2021, 2021, 2021, 2021, 2022, 2022, 2022, 1998, 1998, 2018, 2018, 2017, 2002, 2002, 2022, 2022, 2022, 2022, 2022, 2022, 2020, 2021, 2022, 2022, 2022, 1978, 2021, 2022, 2022, 2022, 2021, 2022, 2021, 2021, 2021, 2021, 2021, 2017, 2017, 2013, 2022, 2015, 2015, 2021, 2022, 2023, 2020, 2021, 2019, 2022, 2022, 2022, 2021, 1998, 1998, 2017, 2021, 2021, 1965, 2021, 2022, 2017, 2022, 2000",2017.31
submission957.pdf,"2022, 2022, 2023, 2019, 2020, 2020, 2022, 2020, 2022, 2023, 2020, 1901, 2023, 2023, 2023, 2022, 2022, 2022, 2020, 2020, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2022, 2022, 2022, 2021, 2021, 2019, 2019, 2022, 2022, 2022, 2022, 2022, 2022, 2023, 2017, 2023, 2023, 2021, 2021, 2023, 2023, 2023, 2023, 2022, 2022, 2020, 2020, 2017, 2023, 2023, 2023, 2022, 2021, 2021, 2021, 2023, 2023, 2019, 2022, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2023, 2022, 2022, 2020, 2023, 2022, 2022, 2023, 2023, 2023, 2020, 2020, 2022, 2021, 2021, 2022, 2022, 2022, 2022, 2023, 2023, 2020, 2023, 2023, 2017, 2022, 2022, 2021, 2022, 2022, 2022, 2020, 2022, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2022, 2023, 2023, 2022, 2022, 2023, 2022, 2022, 2023, 2022, 2023, 2022, 2022, 2023, 2022, 2022, 2022, 2022, 2023, 2022, 2023, 2023, 2022, 2023, 2023, 2023, 2021, 2023, 2023, 2019, 2019, 2023, 2023, 2023, 2022, 2022, 2018, 2019, 2020, 2023, 2020, 2020, 2021, 2021, 2022, 2022, 2022, 2023, 2023, 2023, 2023, 2022, 2022, 2023, 2022, 2023, 2022, 2020, 2022, 2022, 2022, 2023, 2022, 2017, 2023, 2021, 2021, 2023, 2023, 2022, 2021, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2022, 2023, 2023, 2022, 2023, 2023, 2022, 2023, 2023, 2023, 2020, 2021, 2023, 2023, 2021, 2023, 2022, 2022, 2017, 2020, 2022, 2022, 2020, 2017, 2021, 2022, 2022, 2023, 2021, 2022, 2022, 2023, 2023, 2020, 2021, 2020, 2022, 2023, 2021, 2020, 2022, 2023, 2022, 2021, 2019, 2020, 2022, 2022, 2023, 2023, 2023, 2022, 2020, 2022, 2021, 2022, 2023, 2023, 2022, 2022, 2023, 2022, 2023, 2023, 2022, 2022, 2021, 2022, 2022, 2023, 2023, 2023, 2022, 2023, 2023, 2020, 2019, 2021, 2022, 2022, 2021, 2022, 2022, 2022, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2023, 2020, 2023, 2021, 2022, 2023, 2023, 2023, 2022, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2020, 2023, 2021, 2022, 2022, 2021, 2022, 2022, 2022, 2022, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2023, 2023, 2020, 2021, 2022, 2022, 2022, 2022, 2023, 2021, 2022, 2022, 2022, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023",2021.8
submission2231.pdf,"2017, 2020, 1901, 2020, 2020, 2019, 2021, 2021, 2021, 2019, 2019, 2022, 2022, 2012, 2021, 2018, 2021, 2022, 2020, 2019, 2019, 2022, 2016, 2011, 2011, 2019, 2016, 2016, 2013, 2022, 2012, 2020, 2022, 2022, 2021, 2021, 2019, 2022, 2019, 2021, 2018, 2020, 2020",2016.21
submission1391.pdf,"2013, 2013, 2014, 2013, 2017, 2023, 2017, 2012, 2012, 2019, 2019, 2023, 2013, 2013, 2016, 2016, 2019, 2019, 2019, 2019, 2020, 2022, 1996, 2006, 2006, 2019, 2019, 2019, 2019, 2016, 2016, 2021, 2010, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2018, 2021, 2020, 2016, 2023, 2001, 2020, 2020, 2020, 2023, 2023, 2023, 2020, 2020, 2020, 2018, 2018, 2021, 2021, 2021, 2019, 1996, 2020, 2019, 2020",2017.24
submission4607.pdf,"2016, 2019, 2019, 2020, 2020, 2010, 2023, 2020, 2020, 2020, 2020, 2019, 2019, 2021, 2021, 2009, 2021, 2021, 2009, 2019, 2019, 2021, 2017, 2020, 2020, 2020, 2022, 2022, 2021, 2021, 2022, 2022, 2000, 2000, 1900, 2000, 2000, 2022, 2020, 2020, 2019, 2016, 2020, 2022, 2022, 2022, 2019, 2019, 2019, 2020, 2020, 2021, 2021, 2021, 2021, 2000, 2000, 2000, 2000, 2000, 2000, 2000",2014.15
submission3633.pdf,"2022, 2020, 1901, 2015, 2019, 2019, 2011, 2022, 2022, 2021, 2022, 2021, 2023, 2022, 2020, 2019, 2019, 2023, 2020, 1906, 1919, 2017, 2020, 2020, 2023, 2022, 2018, 2022, 2020, 2023, 2022, 2022, 1903, 2023, 2023, 2022, 2022, 2023, 2021, 2022, 2022, 2022, 2020, 2022, 2019, 2018, 2022, 2022, 1929, 1914, 1918, 1929, 1914, 1918, 2023, 1973, 1973, 1973, 2020, 1972, 1992, 2020, 2006, 2005, 2022, 1993, 1995, 1977, 1977",1999.77
submission5438.pdf,"2021, 2019, 2019, 2019, 2016, 2021, 2020, 2022, 2021, 2021, 2022, 2020, 2019, 2018, 2018, 2020, 2022, 2019, 2019, 2021, 2019, 2019, 2023, 2022, 2019, 2021, 2019, 2019, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2019, 2018, 2018, 2020, 2020, 2021, 2019, 2019, 2019, 2022, 2021, 2021, 2019, 2018, 2018, 2019, 2021, 2021, 2021, 2021, 2022, 2022, 2021, 2022, 2022, 2022, 2021, 2021, 2020, 2021, 2022, 2019, 2019, 2019, 2019, 2020, 2021, 2021, 2022, 2020, 2019, 2019, 2021, 2022, 2022, 2020, 2020, 2021, 2021, 2021, 2021",2020.23
submission1636.pdf,"2022, 2020, 2022, 2019, 2021, 2023, 2022, 2022, 1995, 2021, 2021, 2020, 2020, 2022, 2023, 2023, 2021, 2018, 2018, 2022, 2022, 2016, 2019, 2019, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2016, 2020, 2020, 2011, 2020, 2022, 2019, 2017, 2021, 2021, 2020, 2017, 2021, 2022, 2021, 2016, 2000, 2020, 2019, 2021, 2023, 2020, 2016, 2016, 2021, 1977, 1977, 2020, 2020, 2020, 2020",2017.97
submission3404.pdf,"2023, 2018, 2018, 2018, 2018, 2013, 1990, 2022, 2018, 2018, 2022, 2021, 2019, 2019, 2016, 2023, 2023, 2022, 2023, 2023, 1938, 2021, 2021, 2023, 2023, 2020, 2019, 2019, 2023, 2015, 2015, 2015, 2023, 2019, 2019, 2019, 2006",2016.35
