filename,extracted_years,average_year
submission2241.pdf,"2021, 2019, 2019, 2019, 2022, 2020, 2020, 2020, 1983, 2018, 2017, 2016, 2015, 2016, 2021, 2021, 2017, 2017, 2023, 2020, 1989, 1998, 2018, 2021, 2022, 2019, 2019, 2019, 2015, 2019, 2019, 2020, 2022, 2013, 2020, 2021, 2020, 2021, 2021, 2015, 2023, 2018, 2017, 2021, 2020, 2020, 2020, 2018, 2020, 2020, 2015, 2005, 2019, 2019, 2008, 2008, 2021, 2001, 2018, 2020, 2020, 2023, 2014, 2021, 2021, 2016, 2021, 2020, 2020, 2020",2017.17
submission741.pdf,"2022, 2022, 2022, 2022, 2022, 2020, 2021, 2021, 2021, 2023, 2016, 2021, 2019, 2019, 2019, 2019, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2021, 2021, 2022, 2022, 2012, 2018, 2020, 2020, 2020, 2020, 2023, 2022, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2018, 2020, 2020, 2020, 2020, 2020, 2019, 2022, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2023, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2018, 2020, 2021, 2012, 2020, 2020, 2021, 2021, 2021, 2020, 2020, 2023, 2020, 2020, 2020, 2020, 2021, 2022, 2019, 2018, 2019, 2021, 2019, 2019, 2021, 2020, 2020, 2020, 2021, 2021, 2019, 2019, 2019, 2023, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2021, 2022, 2017, 2022, 2021, 2021, 2021, 2021, 2021, 2020, 1987, 2021, 2021, 2021, 2021, 2022, 2020, 2020, 2020, 2023, 2021, 2021, 2021, 2019, 2023, 2021, 2019, 2020, 2021, 2022, 2019, 2020, 2021, 2022, 2018, 2020, 2021, 2023, 2012, 2023, 2020, 2020, 2012, 2020, 2020, 2021, 2020, 2023, 2019, 2020, 2021, 2020, 2023, 2021, 2021, 2019, 2020, 2021, 2021, 2019, 2021, 2019, 2020, 2020, 2019, 2021, 2021, 2021, 2021, 2023, 2021, 2021, 2019, 2021, 2019, 2018, 2023, 2021, 2019, 2021, 2018, 2019, 2020, 2021, 2021, 2021, 2020, 2021, 2021, 2021, 2023, 2020, 2021, 2020, 2021, 2021, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2021, 2022, 2023, 2020, 2022, 2019, 2021, 2021, 2019, 2021, 2022, 2012, 2021, 2022, 2022, 2022, 2022, 2021, 2020, 2023, 2023, 2023, 1960, 1913, 1980, 2023, 2023, 2015, 2023, 2020, 2021, 2023, 2021, 2019, 2020, 2021, 2021, 2022, 2020, 2019, 2021, 2022, 2022, 2023, 2020, 2020, 2021, 2022, 2022, 2022, 2022, 2022, 2023",2019.64
submission4213.pdf,"2022, 2020, 2020, 2022, 2021, 2022, 2022, 2018, 2005, 2019, 2005, 2005, 2022, 2022, 2020, 2020, 2021, 2022, 2019, 2019, 2020, 2022, 2015, 2021, 2021, 2012, 2018, 2022, 2022, 2011, 2013, 2013, 2018, 2022, 2022, 2022, 2022, 2022, 2016, 2016, 2020, 2022, 2005, 2019, 2019, 2021, 2019, 2019, 2019, 2011, 2020, 2021, 2019, 2019, 2022, 2022, 2019, 2019, 2019, 2019, 1955, 2021, 2019, 2019, 2018, 2018, 2022, 2021, 2021, 2022, 2017, 2019, 2019, 2022, 2019, 2022, 2015, 2015, 2015, 2015, 2019, 2019, 2021, 2021, 2022, 2021, 2022, 2022, 2022, 2022, 2019, 2021, 2021, 2019, 2021, 2011, 2013, 2005, 2015, 2018, 2019, 2005, 2015, 2015, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2019, 2017, 2022, 2021, 2021, 2022, 2005, 2019, 2020, 2012, 2019, 2011, 2019, 2016, 2020, 2018, 2018, 2022, 2021, 2021",2017.94
submission4928.pdf,"2012, 2013, 2018, 2020, 2022, 2021, 2002, 2020, 2002, 1999, 2011, 2006, 2009, 2009, 2010, 1929, 2020, 2010, 1929, 2006, 2020, 2006, 2007, 2004, 2010, 2007, 2023, 2001, 2015, 2021, 1905, 2019, 1905, 1998, 2004, 1909, 2019, 1909, 2006, 2013, 2015, 2008, 2015, 2008, 2015, 2013, 2009, 2021, 1963, 2022, 2005, 2011, 1912, 2019, 1912, 1984, 1986, 2023, 1964, 2022, 2012, 2020, 2012, 2018, 2012, 1991, 2012, 2012, 2003, 2020, 2003, 2005, 2009, 2020, 2009, 1901, 2019, 1901, 2014, 1910, 2019, 1910, 2023, 2023, 2023, 2013, 2012, 2023, 2023, 2006, 2023, 2023, 2022, 2008, 2023, 2023, 1986, 2001, 2011, 2023, 2023",1999.41
submission5212.pdf,"2018, 2020, 2021, 2021, 2021, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2013, 2001, 2020, 2015, 2018, 2018, 2016, 1928, 1937, 2020, 2008, 2001, 2014, 2020, 2023, 1971, 1973, 2017, 2015, 1991, 1992, 2015, 2008, 2008, 2020, 2020, 2015, 1960, 1984, 1988, 2011, 2020, 2020, 2020, 2020, 2018, 2014, 2023, 2017, 2013, 2023, 2021, 2018, 2018, 2023, 2023, 2000, 2000, 2023, 2023, 2000, 2000, 2023, 2021, 2003, 2000, 2003, 2023, 2000, 2003, 2000, 2000, 2000, 2000, 2023, 2023, 2023",2009.58
submission1755.pdf,"1988, 2004, 2006, 2020, 1989, 2008, 2019, 2021, 2010, 1933, 1944, 2021, 1994, 1996, 2008, 2021, 2022, 2010, 2020, 2020, 1965, 2023, 2016, 2021, 2019, 2022, 2017, 2016, 2017, 2017, 2021, 2015, 2015, 2015, 2017, 2021, 2009, 2016, 2013, 1994, 2016, 2011, 2017, 2023, 2022, 2001, 2016, 2018, 2009, 2007, 1948, 2019, 2021, 2001, 2021, 2017, 2019, 2018, 2018, 2005, 2022, 2023, 2023",2009.81
submission4155.pdf,"2016, 2018, 2020, 2020, 2018, 2018, 2020, 2020, 2020, 2020, 2014, 2016, 2016, 2022, 2017, 2021, 2017, 2020, 2020, 2021, 2021, 2023, 2015, 2020, 2020, 2008, 2007, 2000, 2020, 2019, 2019, 2020, 2020, 2020, 2020, 2021, 2021, 2023, 2023, 2021, 2020, 2021, 2023, 2021, 2021, 2023, 2021, 2021, 2023, 2021, 2021",2019.04
submission3646.pdf,"2021, 2020, 2021, 1901, 2020, 2020, 2020, 2009, 2009, 2009, 2018, 2020, 2023, 2009, 2019, 1907, 2017, 2022, 2021, 2022, 2021, 2016, 2021, 2013, 2011, 2011, 2011, 2020, 2022, 2021, 2022, 2022, 2017, 2018, 2023, 2020, 2022, 2022, 2022, 2023, 2023, 2022, 2023, 2020, 2013, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023",2015.73
submission2584.pdf,"2019, 2019, 2021, 2020, 2020, 2017, 2021, 2021, 2021, 2021, 2020, 2020, 2023, 2020, 2020, 2020, 2018, 2018, 2016, 2015, 2015, 2022, 2022, 2022, 2022, 2015, 2015, 2018, 1901, 2020, 2020, 2022, 2023, 2020, 2020, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2018, 2018, 2020, 2020, 2020, 2020, 2020, 2020, 2022, 2018, 2018, 2020, 2020, 2020, 2019, 2019, 2023, 2021, 2017, 2017, 2017, 2021, 2021, 2021, 2020, 2020, 2020, 2021, 2021, 2021, 2009, 2022, 2022, 2022, 2021, 2021, 2016, 2015, 1982, 1982, 2023, 2020, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2022, 2015, 2020, 2020, 2020, 2020, 2020, 2018, 2018, 2018, 2012, 2012, 2020, 2020, 2020, 2020, 2017, 2022, 2019, 1909, 2023, 2019, 1907, 2017, 2017, 2017, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2021, 2022, 2009, 2020, 2020, 2009, 2009, 2023, 2019, 2019, 2019, 2019, 2019, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2019, 2019, 2021, 2021, 2021, 2020, 2016, 2016, 2012, 2012, 2021, 2021, 2021, 2021, 2023, 2021, 2021, 2021, 2022, 2016, 2016, 2014, 2014, 2014, 2006, 2006, 2022, 2013, 2013, 2019, 1902, 2020, 2003, 2021, 2004, 2003, 2003, 2003, 2023, 2019, 2019, 2021, 2019, 1912, 2017, 2017, 2017, 2017, 2021, 2021, 2021, 2021, 2022, 2018, 2018, 2020, 2020, 2020, 2020, 2020, 2022, 2022, 2022, 2021, 2022, 2023, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2022, 2018, 2018, 2023, 2023, 2022, 2022, 2015, 2015, 2015, 2023, 2023, 2019, 2021, 2023, 2019, 2020, 2021, 2004, 2023, 1912, 2021, 2023, 2016, 2016, 2019, 2015, 2017, 2023, 2022, 2017, 2023, 2023, 2022, 2020, 2021, 2018, 2020, 2016, 2019, 2022, 2018, 2014, 2009, 2011, 2018, 2009, 2018, 2018, 2012, 2009, 2016, 2022, 2020, 2000, 2023, 2023, 2018, 2023, 2021, 2022",2016.19
submission6230.pdf,"2020, 2020, 2021, 2022, 2021, 2022, 2022, 2020, 2020, 2020, 2020, 2020, 2018, 2021, 2020, 2020, 2020, 1929, 2020, 2022, 2021, 2022, 2016, 2014, 2020, 2023, 1997, 2022, 2022, 2021, 2020, 2020, 2020, 2020, 2018, 2018, 2012, 2012, 2020, 2020, 2021, 2021, 2022, 2020, 2012, 2021, 2021, 2022, 2023, 2020, 2021, 2021, 2017, 2016, 2021, 2017, 2022, 1960, 1973, 2021, 2021, 2022, 2019, 2022, 2017, 2023, 2016, 2018, 2022, 2021, 2022, 2021, 2022, 2020, 2022, 2022, 2021, 2021, 2020, 2021, 2023, 2017, 2020, 2023, 2020, 2022, 2017, 2020, 2016, 2023, 2022, 2021, 2023, 2023, 2023",2017.83
