filename,extracted_years,average_year
submission1505.pdf,"2022, 2022, 1901, 2020, 2023, 2022, 2023, 2023, 2022, 2022, 2021, 2022, 2023, 2023, 2022, 2022, 2023, 2021, 2022, 2014, 2023, 1916, 2022, 2014, 2022, 2022, 2017, 2023, 2022, 2023, 2023, 2022, 2020, 2020, 2023, 2022, 1904, 2023, 2023, 2023, 2016, 2021, 2022, 2023, 2021, 2023, 2022, 2023, 2022, 2022, 2021, 2021, 2021, 2021, 2023, 2022, 2022, 1903, 2022, 2019, 2019, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2000, 2000, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007",2013.62
submission3014.pdf,"2022, 2019, 2022, 2023, 2002, 2019, 2004, 2004, 2021, 2022, 2022, 2021, 1998, 2016, 2021, 2013, 2006, 2022, 2020, 2022, 2023, 2022, 1991, 1996, 2006, 2014, 2012, 2023, 2015, 2006, 2010, 1997, 2017, 2020, 1995, 1997, 2022, 2005, 2021, 2004, 2022, 1994, 1998, 2004, 1947, 1958, 2002, 2023, 2023, 2021, 2022, 2001, 2001, 1990, 1998, 1999, 2005, 2020, 2021",2009.56
submission11833.pdf,"2021, 2004, 2023, 2023, 2023, 2023, 2020, 2020, 2021, 2022, 2022, 2018, 2017, 2021, 2022, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2017, 1990, 1919, 2018, 2021, 2022, 2023, 2023, 2019, 2018, 2016, 2022, 2022, 2007, 2006, 2022, 2019, 2019, 2018, 2018, 2018, 2019, 2017, 2021, 2021, 2021, 1956, 2022, 2021, 2018, 2022, 2020, 2021, 2021, 2021, 2016, 2018, 2022, 2018, 2018, 2023, 2023, 2023, 2021, 2022, 2021, 2019, 2021",2016.8
submission12796.pdf,"2024, 2024, 2024, 2023, 2023, 2015, 2015, 2015, 2019, 2019, 2020, 2002, 2023, 2021, 2021, 2021, 2021, 2021, 2022, 2022, 2022, 2017, 2017, 2020, 2001, 2011, 2019, 2018, 2014, 2019, 2009, 2022, 2021, 2021, 2023, 1967, 1967, 2020, 2021, 2018, 2018, 2020, 2020, 2020, 2023, 2023, 2023, 2023, 2023, 2018, 2018, 2018, 2018, 1950, 2020, 2014, 2022, 2022, 2022, 2022, 2022, 1948, 2023, 1973",2014.77
submission9136.pdf,"2020, 2018, 2017, 2009, 2023, 2020, 1929, 2020, 2008, 2008, 2019, 2019, 2020, 2016, 2017, 2015, 2019, 2018, 2019, 2022, 2022, 2022, 2021, 2019, 2019, 2018, 2019, 2020, 2020, 2015, 2015, 2016, 2017, 2021, 2017, 2016, 2016, 2016, 2015, 2021, 2019, 2021, 2022, 2023, 2021",2016.16
submission12388.pdf,"2016, 2008, 2018, 2019, 2019, 2016, 1996, 2012, 2013, 2021, 1999, 2020, 2021, 2023, 2023, 2023, 2019, 2019, 2020, 2023, 1998, 1998, 2022, 2020, 2019, 2018, 2018, 2020, 2020, 2020, 2012, 2020, 2020, 2022, 2023, 2017, 2020, 2020, 2014, 2020, 2018, 2019, 2019, 2019, 2022, 2016, 2022, 1963, 1971, 2015, 2021, 2012, 2020, 2017, 2021, 2000, 2017, 2020, 2020, 2016, 2019, 2016, 2014, 2021, 2015, 2015, 2019, 1998, 2021, 2020, 2022, 2022, 2020, 2020, 2021, 2021, 2022, 2021, 2020, 2020, 2018, 2022, 2022, 2020, 2020, 2020, 2020, 2019, 2018, 2013, 2008, 2018, 2020, 2020, 2019, 2019, 2013, 2021, 2020, 2020, 2020, 2000, 1987, 2004, 1998, 2010, 2009, 2004, 2020, 2021, 2020, 2020, 2009, 2022, 2020, 2020, 2022, 2016, 2019, 2020, 2020, 2020, 2020, 2021, 2021, 2020, 2022, 2016, 2016, 2020, 2020, 2021, 2020, 2020, 2022, 2016, 2020, 2022, 2022, 2021, 1962, 2022",2016.19
submission6087.pdf,"2011, 2014, 2016, 2016, 2002, 2014, 2021, 2019, 2022, 2020, 2022, 2011, 2022, 2018, 2015, 2020, 2018, 2022, 2015, 2012, 2021, 2022, 1987, 1989, 2021, 2001, 2020, 2025, 2022, 2022, 2021, 2019, 2003, 2015",2015.24
submission4246.pdf,"2019, 2017, 2020, 2020, 2022, 2023, 2021, 2013, 2018, 2018, 2020, 2021, 2022, 2016, 2022, 2019, 2021, 2023, 2022, 2020, 2021, 2022, 2020, 2021, 2021, 2019, 2019, 2021, 2018, 2014, 2017, 2018, 2019, 2020, 2018, 2021, 2019, 2021, 2021, 2019, 2020, 2021, 2017",2019.63
submission1071.pdf,"2021, 2017, 2018, 2017, 2022, 2016, 2010, 2012, 2014, 2004, 2021, 2002, 2012, 2018, 2020, 2007, 2010, 2016, 2018, 1995, 2009, 2019, 1994, 2000, 1984, 1995, 2012, 2009, 2019, 2019, 2012, 2022, 2016, 2019, 2019, 2022, 2019",2012.41
submission2615.pdf,"2018, 2016, 2016, 2016, 1901, 2020, 2021, 2023, 2023, 2023, 2022, 2022, 2023, 2023, 2019, 2023, 2018, 2017, 2022, 2022, 2023, 2023, 2017, 1907, 2020, 2021, 2021, 2023, 2018, 2021, 2022, 2022, 2019, 2019, 2020, 2022, 2023, 2021, 2022, 2023, 2021, 2023, 2023, 2022, 2023, 2022, 2022, 2021, 2022, 2023, 2023, 2021, 2021, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 1992, 2023, 2023, 2018, 2023, 2019, 2023, 2023",2017.85
