filename,extracted_years,average_year,citation_age,citation_age_average,citation_age_median
submission15381.pdf,"[2015, 1998, 2010, 2015, 2017, 1996, 1997, 2005, 2015, 2005, 2013, 2014, 2016, 2015, 2019, 2020, 2021, 2021, 2019, 2017, 2023, 1962, 2016, 2019, 2019, 2020, 2020, 2006, 1985, 1992, 1999, 2007, 1994, 1999, 2001, 2019, 2021, 2001, 2020, 2021, 2012, 2020, 2021, 2006, 1982, 1992, 1961, 1977, 1980, 1994, 2006, 2018, 2021, 2020, 2002, 2009, 2009, 2019, 1903, 2018, 2018, 2017, 2021, 2022, 2019, 2020, 2020, 2023]",2007.68,"[8, 25, 13, 8, 6, 27, 26, 18, 8, 18, 10, 9, 7, 8, 4, 3, 2, 2, 4, 6, 0, 61, 7, 4, 4, 3, 3, 17, 38, 31, 24, 16, 29, 24, 22, 4, 2, 22, 3, 2, 11, 3, 2, 17, 41, 31, 62, 46, 43, 29, 17, 5, 2, 3, 21, 14, 14, 4, 120, 5, 5, 6, 2, 1, 4, 3, 3, 0]",15.323529411764707,8.0
submission15380.pdf,"[2018, 2021, 2020, 2019, 2019, 2019, 2002, 1902, 2019, 2020, 2020, 2020, 2020, 2019, 2019, 2003, 2011, 2011, 2012, 2018, 2018, 2020, 2013, 2018, 2018, 2012, 2003, 2020, 2021, 2018, 1997, 1998, 2020, 2018, 2010, 2013, 2020, 2018, 2019, 2019, 2019, 2018, 2010, 2012, 2020, 2023, 2016, 2016, 2022, 2020, 2019, 2018, 2018, 2018, 2019, 2012, 2014, 2004, 2019, 2020, 2013, 2018, 2016, 2022, 2013, 2019, 2010, 2008, 2020, 2015, 2015, 2022, 2018, 2021, 2021, 2021]",2014.66,"[5, 2, 3, 4, 4, 4, 21, 121, 4, 3, 3, 3, 3, 4, 4, 20, 12, 12, 11, 5, 5, 3, 10, 5, 5, 11, 20, 3, 2, 5, 26, 25, 3, 5, 13, 10, 3, 5, 4, 4, 4, 5, 13, 11, 3, 0, 7, 7, 1, 3, 4, 5, 5, 5, 4, 11, 9, 19, 4, 3, 10, 5, 7, 1, 10, 4, 13, 15, 3, 8, 8, 1, 5, 2, 2, 2]",8.342105263157896,5.0
submission1505.pdf,"[2022, 2022, 1901, 2020, 2023, 2022, 2023, 2023, 2022, 2022, 2021, 2022, 2023, 2023, 2022, 2022, 2023, 2021, 2022, 2014, 2023, 1916, 2022, 2014, 2022, 2022, 2017, 2023, 2022, 2023, 2023, 2022, 2005, 2020, 2023, 2022, 1904, 2023, 2023, 2023, 2016, 2021, 2022, 2023, 2021, 2023, 2022, 2023, 2022, 2022, 2021, 2021, 2021, 2021, 2023, 2022, 2022, 1903, 2022, 1908, 2019, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2000, 2000, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007]",2012.19,"[1, 1, 122, 3, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 9, 0, 107, 1, 9, 1, 1, 6, 0, 1, 0, 0, 1, 18, 3, 0, 1, 119, 0, 0, 0, 7, 2, 1, 0, 2, 0, 1, 0, 1, 1, 2, 2, 2, 2, 0, 1, 1, 120, 1, 115, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 23, 23, 11, 11, 11, 11, 11, 11, 11, 11, 16, 16, 16, 16, 16, 16, 16, 16]",10.806818181818182,1.0
submission3014.pdf,"[2022, 2019, 2022, 2023, 2002, 2019, 2004, 2004, 2021, 2022, 2022, 2021, 1998, 2016, 2021, 2013, 2006, 2022, 2020, 2022, 2023, 2022, 1991, 1996, 2006, 2014, 2012, 2023, 2015, 2006, 2010, 1997, 2017, 2020, 1995, 1997, 2022, 2005, 2021, 2004, 2022, 1994, 1998, 2004, 1947, 1958, 2002, 2023, 2023, 2021, 2022, 2001, 2001, 1990, 1998, 1999, 2005, 2020, 2021]",2009.56,"[1, 4, 1, 0, 21, 4, 19, 19, 2, 1, 1, 2, 25, 7, 2, 10, 17, 1, 3, 1, 0, 1, 32, 27, 17, 9, 11, 0, 8, 17, 13, 26, 6, 3, 28, 26, 1, 18, 2, 19, 1, 29, 25, 19, 76, 65, 21, 0, 0, 2, 1, 22, 22, 33, 25, 24, 18, 3, 2]",13.440677966101696,9.0
submission11833.pdf,"[2021, 2004, 2023, 2023, 2023, 2023, 2020, 2020, 2021, 2022, 2022, 2018, 2017, 2021, 2022, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2017, 1990, 1919, 2018, 2021, 2022, 2023, 2023, 2019, 2018, 2016, 2022, 2022, 2007, 2006, 2022, 2019, 2019, 2018, 2018, 2018, 2019, 2017, 2021, 2021, 2021, 1956, 2022, 2021, 2018, 2022, 2020, 2021, 2021, 2021, 2016, 2018, 2022, 2018, 2018, 2023, 2023, 2023, 2021, 2022, 2021, 2019, 2021]",2016.8,"[2, 19, 0, 0, 0, 0, 3, 3, 2, 1, 1, 5, 6, 2, 1, 5, 5, 5, 5, 5, 3, 3, 3, 6, 33, 104, 5, 2, 1, 0, 0, 4, 5, 7, 1, 1, 16, 17, 1, 4, 4, 5, 5, 5, 4, 6, 2, 2, 2, 67, 1, 2, 5, 1, 3, 2, 2, 2, 7, 5, 1, 5, 5, 0, 0, 0, 2, 1, 2, 4, 2]",6.197183098591549,3.0
submission12796.pdf,"[2024, 2024, 2024, 2023, 2023, 2015, 2015, 2015, 2019, 1909, 2020, 2002, 2023, 2021, 2021, 2021, 2021, 2021, 2022, 2022, 2022, 2017, 2017, 2020, 2001, 2011, 2019, 2018, 2014, 2019, 2009, 2022, 2021, 2021, 2023, 1967, 1967, 2020, 2021, 2018, 2018, 2020, 2020, 2020, 2023, 2023, 2023, 2023, 2023, 2018, 2018, 2018, 2018, 1950, 2020, 2014, 2022, 2022, 2022, 2022, 2022, 1948, 2023, 1973]",2013.05,"[-1, -1, -1, 0, 0, 8, 8, 8, 4, 114, 3, 21, 0, 2, 2, 2, 2, 2, 1, 1, 1, 6, 6, 3, 22, 12, 4, 5, 9, 4, 14, 1, 2, 2, 0, 56, 56, 3, 2, 5, 5, 3, 3, 3, 0, 0, 0, 0, 0, 5, 5, 5, 5, 73, 3, 9, 1, 1, 1, 1, 1, 75, 0, 50]",9.953125,3.0
submission9136.pdf,"[2020, 2018, 2017, 2009, 2023, 2010, 1929, 2020, 2008, 2008, 2019, 2019, 2020, 2016, 2017, 2015, 2019, 2018, 2019, 2022, 2022, 2022, 2021, 2019, 2019, 2018, 2019, 2020, 2020, 2015, 2015, 2016, 2017, 2021, 2017, 2016, 2016, 2016, 2015, 2021, 2019, 2021, 2022, 2023, 2021]",2015.93,"[3, 5, 6, 14, 0, 13, 94, 3, 15, 15, 4, 4, 3, 7, 6, 8, 4, 5, 4, 1, 1, 1, 2, 4, 4, 5, 4, 3, 3, 8, 8, 7, 6, 2, 6, 7, 7, 7, 8, 2, 4, 2, 1, 0, 2]",7.066666666666666,4.0
submission12388.pdf,"[2016, 2008, 2018, 1912, 2019, 2016, 1996, 2012, 2013, 2021, 1999, 2007, 2021, 2023, 2023, 2023, 2019, 2019, 2011, 2023, 1998, 1998, 2022, 2007, 2019, 2018, 2018, 2020, 2011, 2020, 2012, 2011, 2020, 2022, 2023, 2017, 2020, 2020, 2014, 2005, 2018, 2019, 1901, 2019, 2022, 2016, 2022, 1963, 1971, 2015, 2021, 2012, 2011, 2017, 2021, 2000, 2017, 2006, 2020, 2016, 2019, 2016, 2014, 2021, 2015, 2015, 2019, 1998, 2021, 2020, 2022, 2022, 2002, 2020, 2021, 2021, 2022, 2021, 2005, 2020, 2018, 2022, 2022, 2003, 2007, 2020, 2001, 2019, 2018, 2013, 2008, 2018, 2001, 2020, 1906, 2019, 2013, 2021, 2003, 2020, 2006, 2000, 1987, 2004, 1998, 2010, 2009, 2004, 2020, 2021, 2020, 2005, 2009, 2022, 2001, 2020, 2022, 2016, 2019, 2020, 2020, 2020, 2020, 2021, 2021, 2020, 2022, 2016, 2016, 2006, 2020, 2021, 2005, 2020, 2022, 2016, 2020, 2022, 2022, 2021, 1962, 2022]",2011.8,"[7, 15, 5, 111, 4, 7, 27, 11, 10, 2, 24, 16, 2, 0, 0, 0, 4, 4, 12, 0, 25, 25, 1, 16, 4, 5, 5, 3, 12, 3, 11, 12, 3, 1, 0, 6, 3, 3, 9, 18, 5, 4, 122, 4, 1, 7, 1, 60, 52, 8, 2, 11, 12, 6, 2, 23, 6, 17, 3, 7, 4, 7, 9, 2, 8, 8, 4, 25, 2, 3, 1, 1, 21, 3, 2, 2, 1, 2, 18, 3, 5, 1, 1, 20, 16, 3, 22, 4, 5, 10, 15, 5, 22, 3, 117, 4, 10, 2, 20, 3, 17, 23, 36, 19, 25, 13, 14, 19, 3, 2, 3, 18, 14, 1, 22, 3, 1, 7, 4, 3, 3, 3, 3, 2, 2, 3, 1, 7, 7, 17, 3, 2, 18, 3, 1, 7, 3, 1, 1, 2, 61, 1]",11.204225352112676,5.0
submission6087.pdf,"[2011, 2014, 2016, 2016, 2002, 2014, 2021, 2019, 2022, 2020, 2022, 2011, 2022, 2018, 2015, 2020, 2018, 2022, 2015, 2012, 2021, 2022, 1987, 1989, 2021, 2001, 2020, 2025, 2022, 2022, 2021, 2019, 2003, 2015]",2015.24,"[12, 9, 7, 7, 21, 9, 2, 4, 1, 3, 1, 12, 1, 5, 8, 3, 5, 1, 8, 11, 2, 1, 36, 34, 2, 22, 3, -2, 1, 1, 2, 4, 20, 8]",7.764705882352941,4.5
submission4246.pdf,"[2019, 2017, 2020, 2020, 2022, 2023, 2021, 2013, 2018, 2018, 2020, 2021, 2022, 2016, 2022, 2019, 2021, 2023, 2022, 2020, 2021, 2022, 2020, 2021, 2021, 2019, 2019, 2021, 2018, 2014, 2017, 2018, 2019, 2020, 2018, 2021, 2019, 2021, 2021, 2019, 2020, 2021, 2017]",2019.63,"[4, 6, 3, 3, 1, 0, 2, 10, 5, 5, 3, 2, 1, 7, 1, 4, 2, 0, 1, 3, 2, 1, 3, 2, 2, 4, 4, 2, 5, 9, 6, 5, 4, 3, 5, 2, 4, 2, 2, 4, 3, 2, 6]",3.372093023255814,3.0
